OrderUuid,Exchange,Type,Quantity,Limit,CommissionPaid,Price,Opened,Closed
96d90b14-5928-4979-92d0-f4baece1aed2,BTC-NBT,LIMIT_SELL,555.75379716,0.00056217,0.00078106,0.3124281,5/14/2017 8:26:12 PM,5/14/2017 8:31:17 PM
9ae3283e-0100-4cc4-bfa3-a463832f8918,BTC-NBT,LIMIT_BUY,1,0.00055237,0.00000138,0.00055237,5/14/2017 9:00:47 PM,5/14/2017 9:10:56 PM
7e0c1e1b-8c72-4be1-8887-a3714d8d18c1,BTC-NBT,LIMIT_SELL,1,0.00055237,0.00000138,0.00055237,5/14/2017 9:08:57 PM,5/14/2017 9:08:57 PM
f63e0de3-2a0c-4451-a235-5170c68e1617,BTC-NBT,LIMIT_SELL,33.58585859,0.00055794,0.00004684,0.01873889,5/14/2017 9:50:34 PM,5/14/2017 9:55:39 PM
9fe9c630-b888-4e13-8eae-ceb9d931a48c,BTC-NBT,LIMIT_BUY,700,0.00055288,0.00096754,0.387016,5/15/2017 1:50:31 AM,5/15/2017 2:10:51 AM
d1ad47a2-c8e5-45b4-ae7b-2cc17e591112,BTC-NBT,LIMIT_BUY,57.7214,0.00055687,0.00008035,0.03214331,5/15/2017 2:55:35 AM,5/15/2017 3:05:44 AM
0a295fda-c6a6-4a72-b95d-54807330a3e9,BTC-NBT,LIMIT_BUY,2.17719,0.00056228,0.00000304,0.00121933,5/15/2017 4:36:17 AM,5/15/2017 4:40:19 AM
95d82c2c-0aa9-4f54-9e06-065fd183f899,BTC-NBT,LIMIT_BUY,120.73193143,0.00056533,0.00017053,0.06821233,5/15/2017 4:55:35 AM,5/15/2017 5:00:39 AM
825d7503-da4d-46d1-b97c-9f3154253388,BTC-NBT,LIMIT_SELL,15.73178483,0.00057088,0.00002245,0.00898096,5/15/2017 5:45:22 AM,5/15/2017 6:50:26 AM
8aac7dbf-97ee-49cf-82c7-b7b52d19e13c,BTC-NBT,LIMIT_BUY,692.0910013,0.0005669,0.00098086,0.39234638,5/15/2017 5:45:23 AM,5/15/2017 6:50:27 AM
5f098cea-3388-4bf8-8ed9-3e7ef472d7ba,BTC-NBT,LIMIT_SELL,10.8332054,0.00050766,0.00001377,0.00550955,5/27/2017 11:58:47 AM,5/27/2017 12:03:52 PM
41a66ec2-5656-4ad3-82fc-835ccf4ffeb1,BTC-NBT,LIMIT_BUY,400,0.00056348,0.00056348,0.225392,5/15/2017 7:10:51 AM,5/15/2017 7:45:19 AM
b9620411-425f-4d12-b3d1-9dc5cbbd5f92,BTC-NBT,LIMIT_SELL,2.82242525,0.00057724,0.00000407,0.00162921,5/15/2017 8:50:26 AM,5/15/2017 8:55:30 AM
21f82bab-7d0a-47b8-a0d7-d53c27aa118a,BTC-NBT,LIMIT_BUY,18.55421008,0.00057177,0.00002652,0.01060874,5/15/2017 8:55:31 AM,5/15/2017 9:00:33 AM
55cf3fed-2727-41ba-a957-e1621275591e,BTC-NBT,LIMIT_SELL,2578.14544053,0.00057904,0.00373212,1.49284933,5/15/2017 9:00:33 AM,5/15/2017 9:05:38 AM
b4a3f995-b467-4127-b956-e3ee97853612,BTC-NBT,LIMIT_BUY,817.10388931,0.00048705,0.00099492,0.39797044,5/27/2017 12:24:13 PM,5/27/2017 12:29:17 PM
6e366656-b762-40ef-9441-18694b42414a,BTC-NBT,LIMIT_SELL,861.33945841,0.00057823,0.00124513,0.49805231,5/15/2017 9:25:59 AM,5/15/2017 9:36:08 AM
725d26fd-4f1a-4ae8-9bfd-236ae27ac395,BTC-NBT,LIMIT_SELL,1.40340902,0.00057202,0.000002,0.00080277,5/15/2017 10:36:09 AM,5/15/2017 10:41:14 AM
90b00f56-eabb-47ea-b4c4-c3093d7e7ea5,BTC-NBT,LIMIT_BUY,4.504468,0.00057531,0.00000646,0.00258845,5/15/2017 3:10:39 PM,5/15/2017 3:15:43 PM
e1ca3edc-a575-4b2d-a09f-b24e2415d621,BTC-NBT,LIMIT_SELL,1,0.00057531,0.00000143,0.00057531,5/15/2017 3:12:00 PM,5/15/2017 3:12:00 PM
5becd93a-1051-4b84-8923-605caec8a5a4,BTC-NBT,LIMIT_SELL,127.0412837,0.00058154,0.00018469,0.07387958,5/15/2017 3:15:43 PM,5/15/2017 3:20:50 PM
942d80e6-6589-43a0-b53f-ac01d8e5b71f,BTC-NBT,LIMIT_SELL,203.84319771,0.00057961,0.00029537,0.11814955,5/15/2017 3:46:14 PM,5/15/2017 3:50:17 PM
8997c223-7f9f-44aa-b62e-44474c056df7,BTC-NBT,LIMIT_SELL,500,0.0005769,0.00072112,0.28845,5/15/2017 5:36:02 PM,5/15/2017 5:41:05 PM
73c06f6f-4bdc-4c68-b480-6293d32b393c,BTC-NBT,LIMIT_SELL,500,0.00057524,0.00071905,0.28762,5/15/2017 5:41:06 PM,5/15/2017 5:55:20 PM
1b4aa7b7-6084-49b2-a445-49ce45fbf1e3,BTC-NBT,LIMIT_SELL,1602.60476754,0.00057418,0.00230045,0.9201836,5/15/2017 5:55:21 PM,5/15/2017 6:10:35 PM
f9ef8c53-61bf-47c1-8673-724ff8d2e14b,BTC-NBT,LIMIT_SELL,1,0.00057966,0.00000144,0.00057966,5/15/2017 7:15:39 PM,5/15/2017 7:20:44 PM
ee1e8c4e-c791-42a1-b93b-d5fae04d8d3a,BTC-NBT,LIMIT_BUY,1,0.00057966,0.00000144,0.00057966,5/15/2017 7:18:57 PM,5/15/2017 7:18:57 PM
29790a70-a927-4f45-a02d-2675c9e7f89f,BTC-NBT,LIMIT_SELL,3435.87380399,0.00058064,0.00498751,1.99500576,5/15/2017 7:20:45 PM,5/15/2017 7:27:05 PM
1df842a2-4e86-4fdf-af43-d765b02a763c,BTC-NBT,LIMIT_SELL,0.91145727,0.00057997,0.00000132,0.00052861,5/15/2017 9:11:37 PM,5/15/2017 9:11:37 PM
b933cc14-4126-4833-8f13-e2f53d1324c6,BTC-NBT,LIMIT_SELL,407.97546012,0.00057213,0.00058353,0.23341499,5/15/2017 11:20:43 PM,5/15/2017 11:35:58 PM
24fe4108-d604-434a-8a5b-2469f4c964fe,BTC-NBT,LIMIT_BUY,89.76756085,0.00057237,0.00012845,0.05138025,5/16/2017 12:15:39 AM,5/16/2017 12:25:48 AM
3e7cbb50-41e6-4472-9c7e-416564e85863,BTC-NBT,LIMIT_SELL,2.237092,0.00049255,0.00000276,0.00110727,5/27/2017 3:53:38 PM,5/27/2017 3:58:42 PM
cf49b176-328a-420a-9901-31f0b82f2cba,BTC-NBT,LIMIT_SELL,125.46968575,0.00059077,0.00018529,0.0741237,5/16/2017 3:51:10 AM,5/16/2017 3:56:14 AM
7dc8967e-c85b-4fe5-aef3-489fbbc9081e,BTC-NBT,LIMIT_SELL,3396.69625221,0.00059283,0.00503414,2.01366343,5/16/2017 3:56:15 AM,5/16/2017 4:01:19 AM
8975e864-2c91-4a7d-91b2-fb1289eb3072,BTC-NBT,LIMIT_SELL,202.9893908,0.00058749,0.00029813,0.11925423,5/16/2017 4:30:47 AM,5/16/2017 4:35:52 AM
ebb8f6e6-e414-4f2a-90c0-38894355a632,BTC-NBT,LIMIT_BUY,6.1068794,0.00058165,0.00000888,0.00355206,5/16/2017 5:25:44 AM,5/16/2017 6:01:18 AM
0fbe87b2-9a93-48e9-b789-86d7c226721b,BTC-NBT,LIMIT_SELL,45.82671017,0.00058731,0.00006728,0.02691448,5/16/2017 6:01:18 AM,5/16/2017 6:10:24 AM
8ba73493-5a06-4b4c-aae8-bdd4b1df2ac6,BTC-NBT,LIMIT_SELL,1.40055243,0.00058731,0.00000205,0.00082255,5/16/2017 7:10:26 AM,5/16/2017 7:25:39 AM
eca53f23-7c9d-4e2b-9bde-5690d8f00edc,BTC-NBT,LIMIT_SELL,224.88951836,0.00047923,0.00026986,0.10794696,5/27/2017 4:43:27 PM,5/27/2017 4:58:41 PM
5df0d2df-6859-482c-abe6-5cd97734257b,BTC-NBT,LIMIT_SELL,1.77009384,0.00058265,0.00000257,0.00103134,5/16/2017 7:40:56 AM,5/16/2017 8:06:20 AM
